TP1: Wiretapping
sniff timeout = 1200 segs

----------Paquetes ARP capturados----------
Who has? ip 172.16.145.58, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.143.122, at mac 34:4d:f7:15:a8:f0
Who has? ip 172.16.140.61, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.19, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.146.19 is at mac 94:39:e5:57:d4:b4, telling ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.133.79, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.133.79, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.143.78, at mac e0:91:53:69:d7:d8
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.133.79, at mac 14:1a:a3:d5:36:e7
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.138.187, at mac e8:94:f6:1e:bf:45
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.138.187, at mac e8:94:f6:1e:bf:45
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.74, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.111, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
