TP1: Wiretapping
sniff timeout = 1800 segs

----------Paquetes ARP capturados----------
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
Packet has no attribute type
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.151, at mac 8c:3a:e3:12:70:82
Packet has no attribute type
Who has? ip 10.2.203.254, tell ip 10.2.203.28, at mac f8:cf:c5:87:e8:15
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.28, at mac f8:cf:c5:87:e8:15
Who has? ip 10.2.203.254, tell ip 10.2.203.28, at mac f8:cf:c5:87:e8:15
Who has? ip 10.2.203.254, tell ip 10.2.203.28, at mac f8:cf:c5:87:e8:15
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.28, at mac f8:cf:c5:87:e8:15
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.225, at mac 64:6c:b2:a6:4a:42
Who has? ip 10.2.203.254, tell ip 10.2.203.28, at mac f8:cf:c5:87:e8:15
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.28, at mac f8:cf:c5:87:e8:15
Packet has no attribute type
Who has? ip 169.254.165.116, tell ip 0.0.0.0, at mac 74:e2:8c:02:2a:78
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
Packet has no attribute type
Who has? ip 10.2.203.254, tell ip 10.2.202.157, at mac 64:6c:b2:18:0e:ad
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.157, at mac 64:6c:b2:18:0e:ad
Who has? ip 10.2.201.224, tell ip 10.2.202.157, at mac 64:6c:b2:18:0e:ad
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.157, at mac 64:6c:b2:18:0e:ad
Who has? ip 10.2.203.254, tell ip 10.2.203.83, at mac f8:d0:bd:ba:c4:38
Who has? ip 10.2.203.254, tell ip 10.2.201.138, at mac 80:6c:1b:c8:ee:95
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.83, at mac f8:d0:bd:ba:c4:38
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.138, at mac 80:6c:1b:c8:ee:95
Who has? ip 10.2.203.254, tell ip 10.2.203.83, at mac f8:d0:bd:ba:c4:38
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.83, at mac f8:d0:bd:ba:c4:38
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.221, at mac 9c:d9:17:db:0d:a5
Who has? ip 10.2.203.254, tell ip 10.2.203.83, at mac f8:d0:bd:ba:c4:38
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.221, at mac 9c:d9:17:db:0d:a5
Who has? ip 10.2.203.254, tell ip 10.2.202.53, at mac 78:3a:84:0b:18:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.221, at mac 9c:d9:17:db:0d:a5
Who has? ip 10.2.203.254, tell ip 10.2.203.83, at mac f8:d0:bd:ba:c4:38
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.53, at mac 78:3a:84:0b:18:f7
Who has? ip 10.2.203.254, tell ip 10.2.203.83, at mac f8:d0:bd:ba:c4:38
Who has? ip 10.2.203.254, tell ip 10.2.201.138, at mac 80:6c:1b:c8:ee:95
