TP1: Wiretapping
sniff timeout = 14400 segs

----------Paquetes ARP capturados----------
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 0.0.0.0, at mac 3c:36:3d:8a:bd:9d
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.105, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.105, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.108, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
The ip 192.168.0.108 is at mac 38:59:f9:02:c3:bc, telling ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.1, tell ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
The ip 192.168.0.1 is at mac 64:70:02:e0:1d:aa, telling ip 192.168.0.108, at mac 38:59:f9:02:c3:bc
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 192.168.0.1, at mac 64:70:02:e0:1d:aa
Who has? ip 192.168.0.109, tell ip 0.0.0.0, at mac 3c:36:3d:8a:bd:9d
Who has? ip 192.168.0.109, tell ip 0.0.0.0, at mac 3c:36:3d:8a:bd:9d
Who has? ip 192.168.0.109, tell ip 0.0.0.0, at mac 3c:36:3d:8a:bd:9d
Who has? ip 192.168.0.109, tell ip 192.168.0.109, at mac 3c:36:3d:8a:bd:9d
