TP1: Wiretapping
sniff timeout = 600 segs
Who has? ip 172.50.0.1, tell ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.175, at mac a4:31:35:a1:73:23
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.175, at mac a4:31:35:a1:73:23
Who has? ip 172.50.0.1, tell ip 172.50.1.46, at mac f8:95:c7:cd:94:40
Who has? ip 172.50.0.1, tell ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.62, at mac c0:9f:42:68:50:cf
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.2.147, at mac 00:61:71:eb:3d:0e
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.2.147, at mac 00:61:71:eb:3d:0e
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.2.147, at mac 00:61:71:eb:3d:0e
Who has? ip 172.50.0.1, tell ip 172.50.0.62, at mac c0:9f:42:68:50:cf
The ip 169.254.255.255 is at mac 00:24:14:ef:de:3f, telling ip 172.50.0.62, at mac c0:9f:42:68:50:cf
The ip 169.254.255.255 is at mac 00:24:14:ef:de:3f, telling ip 172.50.0.62, at mac c0:9f:42:68:50:cf
The ip 169.254.255.255 is at mac 00:24:14:ef:de:3f, telling ip 172.50.2.147, at mac 00:61:71:eb:3d:0e
The ip 169.254.255.255 is at mac 00:24:14:ef:de:3f, telling ip 172.50.2.147, at mac 00:61:71:eb:3d:0e
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.2.147, at mac 00:61:71:eb:3d:0e
Who has? ip 172.50.2.214, tell ip 172.50.0.5, at mac 74:46:a0:99:31:92
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.175, at mac a4:31:35:a1:73:23
Who has? ip 172.50.0.1, tell ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
Who has? ip 172.50.0.1, tell ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
The ip 172.50.0.1 is at mac 08:00:27:2c:4d:4c, telling ip 172.50.0.66, at mac 38:59:f9:02:c3:bc
Who has? ip 172.50.0.1, tell ip 172.50.3.39, at mac f4:37:b7:e2:aa:03
Who has? ip 169.254.68.201, tell ip 0.0.0.0, at mac a8:bb:cf:c3:72:1c
Who has? ip 169.254.68.201, tell ip 169.254.68.201, at mac a8:bb:cf:c3:72:1c
