TP1: Wiretapping
sniff timeout = 14400 segs

----------Paquetes ARP capturados----------
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.36, tell ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
The ip 192.168.1.36 is at mac b8:27:eb:74:64:e3, telling ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.1, tell ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
The ip 192.168.1.1 is at mac bc:96:80:54:bc:e8, telling ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.1, tell ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
The ip 192.168.1.1 is at mac bc:96:80:54:bc:e8, telling ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
Who has? ip 192.168.1.1, tell ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
The ip 192.168.1.1 is at mac bc:96:80:54:bc:e8, telling ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
Who has? ip 192.168.1.6, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
The ip 192.168.1.6 is at mac 5c:93:a2:e5:5e:77, telling ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.1, tell ip 192.168.1.6, at mac 5c:93:a2:e5:5e:77
